Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.2,,,
Sample Interval,0.000384025,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-7.972e-01,0.07,-0.27,4.6,4.4
-7.969e-01,0.05,0.55,4.8,5.2
-7.965e-01,0.11,-0.29,4.8,4.4
-7.961e-01,0.03,0.57,4.6,5.2
-7.957e-01,0.51,-0.29,4.8,4.4
-7.953e-01,0.07,0.55,4.8,5.2
-7.949e-01,0.07,-0.23,5,4.4
-7.945e-01,0.09,0.39,5,5.2
-7.942e-01,0.11,-0.25,5,4.4
-7.938e-01,0.09,0.39,5,5.4
-7.934e-01,0.11,-0.19,4.8,4.6
-7.930e-01,0.11,0.35,5,5.4
-7.926e-01,0.11,-0.19,5,4.6
-7.922e-01,0.09,0.37,5,5.4
-7.919e-01,0.09,-0.27,5,4.6
-7.915e-01,0.09,0.47,5.2,5.6
-7.911e-01,0.09,-0.27,5,4.8
-7.907e-01,0.11,0.45,5.2,5.6
-7.903e-01,0.11,-0.23,5,4.8
-7.899e-01,0.09,0.45,5.2,5.6
-7.896e-01,0.13,-0.21,5,4.8
-7.892e-01,0.09,0.45,5.2,5.6
