Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.1,,,
Sample Interval,0.000192012,,,
Filter Frequency,2e+08,,,
Record Length,5192,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.5,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.443e-01,0.09,-0.23,9.8,9.6
-4.441e-01,0.07,0.43,10,10.4
-4.439e-01,0.11,-0.21,9.8,9.6
-4.437e-01,0.11,0.43,10,10.4
-4.435e-01,0.09,-0.23,10,9.6
-4.434e-01,0.07,0.45,9.8,10.4
-4.432e-01,0.05,-0.15,10,9.6
-4.430e-01,0.13,0.45,10,10.4
-4.428e-01,0.07,-0.15,10,9.6
-4.426e-01,0.09,0.47,9.8,10.4
-4.424e-01,0.11,-0.13,10,9.6
-4.422e-01,0.07,0.45,10,10.4
-4.420e-01,0.07,-0.11,10,9.4
-4.418e-01,0.07,0.43,9.8,10.2
-4.416e-01,0.09,-0.11,9.8,9.6
-4.414e-01,0.07,0.41,10,10.4
-4.412e-01,0.09,-0.09,9.8,9.4
-4.411e-01,0.09,0.37,9.8,10.2
-4.409e-01,0.07,-0.07,9.8,9.4
-4.407e-01,0.09,0.31,10,10.2
-4.405e-01,0.11,-0.03,10,9.4
-4.403e-01,0.07,0.21,10,10.2
-4.401e-01,0.07,-0.00999999,9.8,9.4
-4.399e-01,0.07,0.17,9.8,10.2
-4.397e-01,0.09,-0.00999999,9.8,9.4
-4.395e-01,0.09,0.17,9.8,10.2
-4.393e-01,0.07,-0.00999999,9.8,9.4
-4.391e-01,0.09,0.15,9.8,10.2
-4.389e-01,0.09,-0.00999999,9.8,9.4
-4.387e-01,0.05,0.15,9.6,10.2
-4.386e-01,0.09,-0.00999999,9.8,9.4
-4.384e-01,0.09,0.17,9.8,10.2
-4.382e-01,0.07,0.01,9.8,9.4
-4.380e-01,0.09,0.13,9.8,10.2
-4.378e-01,0.09,-0.05,9.8,9.4
-4.376e-01,0.07,0.23,9.8,10.2
-4.374e-01,0.09,-0.13,9.8,9.4
-4.372e-01,0.09,0.53,9.6,10.2
-4.370e-01,0.07,-0.13,9.8,9.4
-4.368e-01,0.11,0.55,9.8,10.2
-4.366e-01,0.09,-0.15,9.8,9.4
-4.364e-01,0.07,0.55,9.8,10.2
-4.363e-01,0.09,-0.15,9.8,9.4
-4.361e-01,0.09,0.57,9.6,10.2
-4.359e-01,0.07,-0.15,9.6,9.4
-4.357e-01,0.09,0.59,9.6,10
-4.355e-01,0.09,-0.17,9.6,9.2
-4.353e-01,0.07,0.59,9.6,10
-4.351e-01,0.05,-0.17,9.6,9.2
-4.349e-01,0.05,0.59,9.8,10
-4.347e-01,0.05,-0.19,9.6,9.2
-4.345e-01,0.07,0.59,9.6,10
-4.343e-01,0.05,-0.27,9.6,9.2
-4.341e-01,0.03,0.55,9.6,10
-4.339e-01,0.09,-0.27,9.8,9.2
-4.338e-01,0.09,0.55,9.6,10
-4.336e-01,0.09,-0.29,9.6,9.2
-4.334e-01,0.07,0.55,9.6,10
-4.332e-01,0.09,-0.31,9.6,9.2
-4.330e-01,0.05,0.55,9.6,10
-4.328e-01,0.11,-0.29,9.6,9.4
-4.326e-01,0.07,0.41,9.6,10.2
-4.324e-01,0.09,-0.25,9.8,9.4
-4.322e-01,0.09,0.39,9.6,10.2
-4.320e-01,0.09,-0.23,10,9.4
-4.318e-01,0.09,0.37,9.6,10.2
-4.316e-01,0.07,-0.23,9.8,9.4
-4.315e-01,0.09,0.37,9.8,10.2
-4.313e-01,0.09,-0.23,9.6,9.4
-4.311e-01,0.07,0.39,9.8,10.2
-4.309e-01,0.11,-0.19,9.6,9.4
-4.307e-01,0.09,0.35,10,10.2
-4.305e-01,0.09,-0.19,9.6,9.4
-4.303e-01,0.09,0.35,9.8,10.2
-4.301e-01,0.11,-0.17,9.8,9.4
-4.299e-01,0.11,0.33,10,10.2
-4.297e-01,0.11,-0.19,9.8,9.4
-4.295e-01,0.09,0.33,9.8,10.4
-4.293e-01,0.11,-0.27,10,9.4
-4.291e-01,0.11,0.45,10,10.2
-4.290e-01,0.09,-0.27,9.8,9.4
-4.288e-01,0.11,0.45,10,10.2
-4.286e-01,0.11,-0.27,9.8,9.6
-4.284e-01,0.11,0.43,9.8,10.2
-4.282e-01,0.09,-0.25,9.8,9.4
-4.280e-01,0.13,0.43,10,10.2
-4.278e-01,0.11,-0.25,10,9.4
-4.276e-01,0.07,0.43,10,10.4
-4.274e-01,0.07,-0.23,10,9.6
-4.272e-01,0.09,0.43,10,10.4
-4.270e-01,0.11,-0.21,10,9.6
-4.268e-01,0.11,0.47,10,10.4
-4.267e-01,0.09,-0.15,10,9.6
-4.265e-01,0.09,0.45,10,10.4
-4.263e-01,0.11,-0.15,9.8,9.4
-4.261e-01,0.05,0.47,9.8,10.4
-4.259e-01,0.05,-0.13,9.8,9.6
-4.257e-01,0.11,0.45,10,10.4
-4.255e-01,-0.00999999,-0.13,10,9.6
-4.253e-01,-0.05,0.43,9.8,10.4
-4.251e-01,0.07,-0.11,10,9.4
-4.249e-01,0.05,0.41,10,10.4
-4.247e-01,0.07,-0.11,9.8,9.4
-4.245e-01,0.07,0.39,9.8,10.2
-4.243e-01,0.09,-0.11,9.8,9.4
