Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,3.84025e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,2,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.9897e-02,2.2,2.04,1.12,0.96
-8.9858e-02,2.2,2.28,1.12,1.2
-8.9820e-02,2.12,2.04,1.12,0.96
-8.9782e-02,2.2,2.28,1.12,1.2
-8.9743e-02,2.2,1.96,1.12,0.96
-8.9705e-02,2.12,2.28,1.12,1.2
-8.9666e-02,2.12,2.04,1.12,0.96
-8.9628e-02,2.12,2.2,1.12,1.2
-8.9590e-02,2.2,1.96,1.04,0.96
-8.9551e-02,2.12,2.2,1.12,1.28
-8.9513e-02,2.12,1.96,1.12,0.96
-8.9474e-02,2.12,2.2,1.04,1.2
-8.9436e-02,2.12,1.8,1.04,0.88
-8.9398e-02,2.12,2.2,1.12,1.28
-8.9359e-02,2.04,1.88,1.04,0.96
-8.9321e-02,2.04,2.2,1.04,1.2
-8.9282e-02,2.04,1.88,1.04,0.96
-8.9244e-02,2.04,2.12,1.04,1.2
-8.9206e-02,2.12,1.88,1.12,0.96
-8.9167e-02,2.04,2.2,1.12,1.2
-8.9129e-02,2.04,1.96,1.04,0.96
-8.9090e-02,2.04,2.2,1.04,1.2
-8.9052e-02,2.04,1.88,1.04,0.96
-8.9014e-02,2.04,2.2,1.04,1.2
-8.8975e-02,2.04,1.96,1.12,0.96
-8.8937e-02,2.12,2.12,1.04,1.2
-8.8898e-02,2.04,1.88,1.04,0.96
-8.8860e-02,1.96,2.12,1.12,1.2
-8.8822e-02,2.04,1.88,1.04,0.96
-8.8783e-02,2.04,2.12,1.12,1.2
-8.8745e-02,1.96,1.8,1.04,0.88
-8.8706e-02,1.96,2.12,1.04,1.2
-8.8668e-02,1.96,1.8,1.12,0.96
-8.8629e-02,2.04,2.12,1.04,1.2
-8.8591e-02,1.96,1.72,1.04,0.88
-8.8553e-02,1.88,2.12,1.04,1.2
-8.8514e-02,1.88,1.8,1.12,0.96
-8.8476e-02,1.96,2.04,1.12,1.12
-8.8437e-02,1.96,1.72,1.04,0.96
-8.8399e-02,1.8,2.12,1.04,1.2
-8.8361e-02,1.88,1.8,1.04,0.96
-8.8322e-02,1.96,2.04,1.04,1.2
-8.8284e-02,1.88,1.72,1.12,0.96
-8.8245e-02,1.88,2.04,1.12,1.2
-8.8207e-02,1.88,1.8,1.12,1.04
-8.8169e-02,1.88,1.96,1.04,1.2
-8.8130e-02,1.88,1.72,1.12,0.96
-8.8092e-02,1.88,1.96,1.12,1.2
-8.8053e-02,1.8,1.72,1.12,0.96
-8.8015e-02,1.8,1.96,1.12,1.2
-8.7977e-02,1.88,1.56,1.12,0.96
-8.7938e-02,1.8,1.96,1.12,1.2
-8.7900e-02,1.8,1.64,1.12,1.04
-8.7861e-02,1.8,1.88,1.12,1.2
-8.7823e-02,1.8,1.48,1.12,0.96
-8.7785e-02,1.8,1.88,1.12,1.2
-8.7746e-02,1.72,1.56,1.12,1.04
-8.7708e-02,1.72,1.8,1.12,1.28
-8.7669e-02,1.72,1.48,1.12,0.96
-8.7631e-02,1.72,2.04,1.12,1.36
-8.7593e-02,1.64,1.4,1.12,0.96
-8.7554e-02,1.72,1.96,1.12,1.44
-8.7516e-02,1.64,1.4,1.12,0.96
-8.7477e-02,1.64,1.96,1.12,1.44
-8.7439e-02,1.64,1.32,1.12,0.96
-8.7401e-02,1.56,1.96,1.2,1.44
-8.7362e-02,1.64,1.32,1.12,0.96
-8.7324e-02,1.56,1.88,1.2,1.44
-8.7285e-02,1.56,1.32,1.2,0.96
-8.7247e-02,1.56,1.88,1.2,1.44
-8.7209e-02,1.56,1.32,1.28,1.04
-8.7170e-02,1.56,1.88,1.28,1.52
-8.7132e-02,1.56,1.24,1.2,1.04
-8.7093e-02,1.48,1.8,1.28,1.52
-8.7055e-02,1.48,1.24,1.28,1.04
-8.7017e-02,1.48,1.8,1.28,1.52
-8.6978e-02,1.48,1.16,1.36,1.12
-8.6940e-02,1.4,1.8,1.28,1.6
-8.6901e-02,1.4,1.16,1.36,1.04
-8.6863e-02,1.48,1.8,1.28,1.6
-8.6825e-02,1.4,1.16,1.36,1.12
-8.6786e-02,1.4,1.64,1.36,1.6
