Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,,,
Horizontal Units,S,,,,,
Horizontal Scale,0.01,,,,,
Sample Interval,1.92012e-05,,,,,
Filter Frequency,2e+08,,,,,
Record Length,5208,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,,10,
Vertical Units,V,,V,,V,
Vertical Offset,0,,0,,0,
Vertical Scale,1,,0.5,,0.2,
Label,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect
2.1987e-02,0.44,0.2,0.62,0.52,-0.236,-0.252
2.2007e-02,0.36,0.48,0.62,0.84,-0.228,-0.188
2.2026e-02,0.32,0.16,0.66,0.54,-0.22,-0.252
2.2045e-02,0.28,0.36,0.64,0.84,-0.22,-0.188
2.2064e-02,0.24,0.12,0.66,0.56,-0.228,-0.26
2.2083e-02,0.2,0.28,0.66,0.7,-0.236,-0.204
2.2103e-02,0.16,-1.43051e-08,0.66,0.5,-0.244,-0.276
2.2122e-02,0.12,0.24,0.62,0.8,-0.244,-0.212
2.2141e-02,0.08,-0.04,0.6,0.46,-0.244,-0.284
2.2160e-02,0.08,0.2,0.62,0.84,-0.26,-0.228
2.2179e-02,0.04,-0.12,0.62,0.5,-0.268,-0.276
2.2199e-02,0.04,0.12,0.64,0.82,-0.252,-0.22
2.2218e-02,0.04,-0.08,0.64,0.5,-0.244,-0.276
2.2237e-02,0.04,0.16,0.64,0.82,-0.244,-0.212
2.2256e-02,0.08,-0.04,0.66,0.58,-0.252,-0.292
2.2275e-02,0.04,0.12,0.64,0.72,-0.276,-0.228
2.2295e-02,0.04,-0.12,0.64,0.48,-0.276,-0.292
2.2314e-02,-1.43051e-08,0.08,0.64,0.8,-0.268,-0.244
2.2333e-02,-1.43051e-08,-0.16,0.64,0.48,-0.26,-0.308
2.2352e-02,-1.43051e-08,0.08,0.58,0.82,-0.276,-0.244
2.2371e-02,-0.04,-0.16,0.62,0.48,-0.292,-0.308
2.2391e-02,-0.04,0.12,0.62,0.82,-0.3,-0.252
2.2410e-02,-0.04,-0.08,0.62,0.56,-0.292,-0.3
2.2429e-02,-0.04,0.04,0.64,0.7,-0.268,-0.252
2.2448e-02,-0.04,-0.16,0.62,0.5,-0.276,-0.308
2.2467e-02,-0.04,0.08,0.64,0.82,-0.292,-0.252
2.2487e-02,-0.08,-0.12,0.62,0.5,-0.292,-0.316
2.2506e-02,-0.04,0.08,0.64,0.82,-0.292,-0.26
2.2525e-02,-0.04,-0.12,0.66,0.52,-0.284,-0.316
2.2544e-02,-0.04,0.12,0.64,0.82,-0.292,-0.26
2.2563e-02,-1.43051e-08,-0.12,0.68,0.52,-0.292,-0.324
2.2583e-02,-0.04,0.08,0.62,0.8,-0.3,-0.268
2.2602e-02,-0.04,-0.08,0.62,0.56,-0.308,-0.332
2.2621e-02,-0.08,0.04,0.62,0.68,-0.308,-0.284
2.2640e-02,-0.04,-0.12,0.66,0.5,-0.316,-0.348
2.2659e-02,-0.04,0.08,0.64,0.78,-0.316,-0.284
2.2679e-02,-0.04,-0.12,0.62,0.48,-0.332,-0.364
2.2698e-02,-0.04,0.08,0.62,0.78,-0.34,-0.308
2.2717e-02,-0.04,-0.12,0.6,0.5,-0.332,-0.348
2.2736e-02,-0.04,0.04,0.64,0.78,-0.332,-0.3
2.2755e-02,-0.04,-0.12,0.62,0.52,-0.332,-0.356
2.2775e-02,-0.04,0.04,0.6,0.78,-0.332,-0.3
2.2794e-02,-0.04,-0.08,0.64,0.54,-0.34,-0.364
2.2813e-02,-1.43051e-08,0.12,0.6,0.68,-0.348,-0.308
2.2832e-02,-1.43051e-08,-0.08,0.62,0.5,-0.332,-0.372
2.2851e-02,-1.43051e-08,0.04,0.62,0.76,-0.356,-0.316
2.2871e-02,-1.43051e-08,-0.08,0.62,0.46,-0.364,-0.388
2.2890e-02,-0.04,0.08,0.64,0.76,-0.356,-0.332
2.2909e-02,-1.43051e-08,-0.08,0.6,0.52,-0.364,-0.38
2.2928e-02,-0.04,0.08,0.6,0.78,-0.364,-0.324
2.2947e-02,0.04,-0.08,0.62,0.56,-0.348,-0.372
2.2967e-02,-1.43051e-08,0.04,0.6,0.68,-0.34,-0.316
2.2986e-02,-1.43051e-08,-0.08,0.64,0.5,-0.348,-0.372
2.3005e-02,-1.43051e-08,0.08,0.62,0.8,-0.356,-0.324
