Model,DPO2024B
Firmware Version,1.52

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.000768049,
Filter Frequency,2e+08,
Record Length,5200,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,5,
Label,,
TIME,CH1,CH1 Peak Detect
-1.6352e+00,9.4,9.8
-1.6344e+00,9.2,8.6
-1.6336e+00,9.2,9.6
-1.6329e+00,9,8.4
-1.6321e+00,9,9.4
-1.6313e+00,8.8,7.8
-1.6306e+00,8.4,9
-1.6298e+00,8,7.4
-1.6290e+00,7.8,8.6
-1.6283e+00,7.6,7.2
-1.6275e+00,7.6,8
-1.6267e+00,7.6,7
-1.6260e+00,7.6,8
-1.6252e+00,7.6,7
-1.6244e+00,7.6,8
-1.6237e+00,7.4,7.2
-1.6229e+00,7.4,8
-1.6221e+00,7.6,7.2
-1.6214e+00,7.6,8.2
-1.6206e+00,7.8,7.2
-1.6198e+00,7.8,8.2
-1.6190e+00,7.6,7.2
-1.6183e+00,7.6,8.2
-1.6175e+00,7.8,7.2
-1.6167e+00,7.6,8
-1.6160e+00,7.6,7.2
-1.6152e+00,7.4,8
-1.6144e+00,7.6,7
-1.6137e+00,7.4,8
-1.6129e+00,7.4,7
-1.6121e+00,7.2,7.8
-1.6114e+00,7.2,6.8
-1.6106e+00,7,7.8
-1.6098e+00,7.2,6.8
-1.6091e+00,7.2,7.6
-1.6083e+00,7.2,6.8
-1.6075e+00,7.2,7.8
-1.6068e+00,7.2,6.8
-1.6060e+00,7.2,7.8
-1.6052e+00,7.4,7
-1.6045e+00,7.6,7.8
-1.6037e+00,7.6,7
-1.6029e+00,7.6,8
-1.6022e+00,7.4,7
-1.6014e+00,7.2,8
-1.6006e+00,7.6,7
-1.5998e+00,7.2,7.8
-1.5991e+00,7.4,6.8
-1.5983e+00,7.4,7.8
-1.5975e+00,7.2,6.8
-1.5968e+00,7.2,7.6
-1.5960e+00,7.2,6.6
-1.5952e+00,7,7.6
-1.5945e+00,7,6.6
-1.5937e+00,7,7.4
-1.5929e+00,6.8,6.4
-1.5922e+00,7,7.4
-1.5914e+00,7,6.6
-1.5906e+00,7,7.4
-1.5899e+00,7,6.6
-1.5891e+00,7.2,7.6
-1.5883e+00,7,6.8
-1.5876e+00,7.2,7.6
-1.5868e+00,7.2,6.8
-1.5860e+00,7.2,7.6
-1.5853e+00,7.2,6.6
-1.5845e+00,7.2,7.6
-1.5837e+00,7.2,6.6
-1.5829e+00,7,7.6
-1.5822e+00,7,6.6
-1.5814e+00,7,7.4
-1.5806e+00,7,6.4
-1.5799e+00,6.8,7.4
-1.5791e+00,6.8,6.2
-1.5783e+00,6.8,7.2
-1.5776e+00,6.6,6.2
-1.5768e+00,6.8,7.2
-1.5760e+00,6.8,6.2
-1.5753e+00,6.6,7
-1.5745e+00,6.8,6.2
-1.5737e+00,6.8,7.2
-1.5730e+00,6.8,6.2
-1.5722e+00,6.6,7.2
-1.5714e+00,7,6.4
-1.5707e+00,6.8,7.4
-1.5699e+00,7,6.4
-1.5691e+00,6.8,7.4
-1.5684e+00,7,6.4
-1.5676e+00,6.8,7.4
-1.5668e+00,6.8,6.4
-1.5661e+00,6.8,7.2
-1.5653e+00,6.8,6.2
-1.5645e+00,6.6,7.2
-1.5637e+00,6.4,6
-1.5630e+00,6.6,7
-1.5622e+00,6.4,6
-1.5614e+00,6.6,7
-1.5607e+00,6.4,5.8
-1.5599e+00,6.4,6.8
-1.5591e+00,6.4,5.8
-1.5584e+00,6.4,6.8
-1.5576e+00,6.2,5.8
-1.5568e+00,6.4,6.8
-1.5561e+00,6.4,6
-1.5553e+00,6.6,7
-1.5545e+00,6.6,6.2
-1.5538e+00,6.6,7
-1.5530e+00,6.6,6
-1.5522e+00,6.6,7
-1.5515e+00,6.6,6
-1.5507e+00,6.4,7
-1.5499e+00,6.4,6
-1.5492e+00,6.4,7
-1.5484e+00,6.4,5.8
-1.5476e+00,6.4,6.8
-1.5469e+00,6.2,5.8
-1.5461e+00,6.4,6.6
-1.5453e+00,6.2,5.6
-1.5445e+00,6,6.6
-1.5438e+00,6,5.6
-1.5430e+00,6.2,6.4
-1.5422e+00,6,5.6
-1.5415e+00,6,6.4
-1.5407e+00,6.2,5.6
-1.5399e+00,6.2,6.6
-1.5392e+00,6,5.8
-1.5384e+00,6.2,6.6
-1.5376e+00,6.2,5.8
-1.5369e+00,6.2,6.6
-1.5361e+00,6.2,5.8
-1.5353e+00,6.2,6.6
-1.5346e+00,6.4,5.8
-1.5338e+00,6,6.6
-1.5330e+00,6,5.6
-1.5323e+00,6,6.6
-1.5315e+00,6,5.4
-1.5307e+00,5.8,6.4
-1.5300e+00,5.8,5.4
-1.5292e+00,5.8,6.4
-1.5284e+00,5.8,5.2
-1.5276e+00,5.8,6.2
-1.5269e+00,5.6,5.2
-1.5261e+00,5.6,6.2
-1.5253e+00,5.6,5.2
-1.5246e+00,5.6,6.2
-1.5238e+00,5.6,5.2
-1.5230e+00,5.8,6.2
-1.5223e+00,5.8,5.4
-1.5215e+00,5.8,6.4
-1.5207e+00,5.8,5.4
-1.5200e+00,5.6,6.4
-1.5192e+00,5.8,5.4
-1.5184e+00,5.8,6.4
-1.5177e+00,5.6,5.4
-1.5169e+00,5.8,6.2
-1.5161e+00,5.8,5.2
-1.5154e+00,5.8,6.2
-1.5146e+00,5.8,5
-1.5138e+00,5.8,6.2
-1.5131e+00,5.6,5
-1.5123e+00,5.4,6
-1.5115e+00,5.2,5
-1.5108e+00,5.4,5.8
-1.5100e+00,5.4,4.8
-1.5092e+00,5.2,5.8
-1.5084e+00,5.2,4.8
-1.5077e+00,5.2,5.8
-1.5069e+00,5.4,4.8
-1.5061e+00,5.4,5.8
-1.5054e+00,5.4,5
-1.5046e+00,5.4,6
-1.5038e+00,5.6,5
-1.5031e+00,5.4,6
-1.5023e+00,5.6,5
-1.5015e+00,5.4,6
-1.5008e+00,5.6,4.8
-1.5000e+00,5.4,5.8
-1.4992e+00,5.4,4.8
-1.4985e+00,5.2,5.8
-1.4977e+00,5,4.6
-1.4969e+00,5.2,5.6
-1.4962e+00,5,4.6
-1.4954e+00,5,5.6
-1.4946e+00,4.8,4.4
-1.4939e+00,5,5.4
-1.4931e+00,4.8,4.4
-1.4923e+00,4.6,5.4
-1.4916e+00,5,4.4
-1.4908e+00,4.8,5.4
-1.4900e+00,4.6,4.4
-1.4892e+00,5,5.4
-1.4885e+00,5,4.6
-1.4877e+00,5,5.6
-1.4869e+00,5,4.6
-1.4862e+00,5.2,5.6
-1.4854e+00,5,4.6
-1.4846e+00,5,5.4
-1.4839e+00,5,4.4
-1.4831e+00,4.8,5.4
-1.4823e+00,4.8,4.4
-1.4816e+00,4.6,5.2
-1.4808e+00,4.6,4.2
-1.4800e+00,4.8,5.2
-1.4793e+00,4.6,4.2
-1.4785e+00,4.4,5
-1.4777e+00,4.4,4
-1.4770e+00,4.6,5
-1.4762e+00,4.6,4
-1.4754e+00,4.6,5
-1.4747e+00,4.6,4
-1.4739e+00,4.4,4.8
-1.4731e+00,4.4,4
-1.4724e+00,4.6,5
-1.4716e+00,4.4,4.2
-1.4708e+00,4.4,5
-1.4700e+00,4.6,4.2
-1.4693e+00,4.6,5
-1.4685e+00,4.6,4
-1.4677e+00,4.4,5
-1.4670e+00,4.6,4
-1.4662e+00,4.4,4.8
-1.4654e+00,4.2,3.8
-1.4647e+00,4.2,4.8
-1.4639e+00,4.2,3.8
-1.4631e+00,4.2,4.6
-1.4624e+00,4.2,3.8
-1.4616e+00,4.4,4.6
-1.4608e+00,4.2,3.6
-1.4601e+00,4,4.6
-1.4593e+00,4,3.8
-1.4585e+00,4,4.6
-1.4578e+00,4.2,3.8
-1.4570e+00,4.2,4.6
-1.4562e+00,4.2,3.8
-1.4555e+00,4.2,4.8
-1.4547e+00,4.4,4
-1.4539e+00,4.6,5
-1.4531e+00,4.6,4
-1.4524e+00,4.4,5
-1.4516e+00,4.6,4
-1.4508e+00,4.4,5
-1.4501e+00,4.4,4
-1.4493e+00,4.6,5
-1.4485e+00,4.4,4
-1.4478e+00,4.4,4.8
-1.4470e+00,4.2,4
-1.4462e+00,4.4,4.8
-1.4455e+00,4.2,3.8
-1.4447e+00,4.4,4.8
-1.4439e+00,4.2,3.8
-1.4432e+00,4.2,4.8
-1.4424e+00,4.2,3.8
-1.4416e+00,4.2,4.8
-1.4409e+00,4.2,4
-1.4401e+00,4.4,4.8
-1.4393e+00,4.4,4
-1.4386e+00,4.4,5
-1.4378e+00,4.4,4.2
-1.4370e+00,4.4,5
-1.4363e+00,4.6,4.2
-1.4355e+00,4.6,5.2
-1.4347e+00,4.4,4.2
-1.4339e+00,4.6,5
-1.4332e+00,4.6,4
-1.4324e+00,4.6,5
-1.4316e+00,4.6,4
-1.4309e+00,4.4,5
-1.4301e+00,4.6,4
-1.4293e+00,4.4,4.8
-1.4286e+00,4.6,4
-1.4278e+00,4.4,4.8
-1.4270e+00,4.4,4
-1.4263e+00,4.2,4.8
-1.4255e+00,4.2,4
-1.4247e+00,4.4,4.8
-1.4240e+00,4.4,4
-1.4232e+00,4.4,5
-1.4224e+00,4.6,4.2
-1.4217e+00,4.6,5
-1.4209e+00,4.8,4.2
-1.4201e+00,4.6,5.2
-1.4194e+00,4.6,4.2
-1.4186e+00,4.8,5.2
-1.4178e+00,4.8,4.2
-1.4171e+00,4.6,5.2
-1.4163e+00,4.8,4.2
-1.4155e+00,4.6,5.2
-1.4147e+00,4.6,4.2
-1.4140e+00,4.6,5
-1.4132e+00,4.6,4
-1.4124e+00,4.6,5
-1.4117e+00,4.6,4
-1.4109e+00,4.6,5
-1.4101e+00,4.6,4
-1.4094e+00,4.4,5
-1.4086e+00,4.6,4
-1.4078e+00,4.4,5
-1.4071e+00,4.6,4.2
-1.4063e+00,4.8,5.2
-1.4055e+00,4.6,4.2
-1.4048e+00,4.6,5.2
-1.4040e+00,4.8,4.4
-1.4032e+00,4.8,5.4
-1.4025e+00,5,4.4
-1.4017e+00,4.8,5.4
-1.4009e+00,5,4.4
-1.4002e+00,4.8,5.4
-1.3994e+00,4.6,4.4
-1.3986e+00,4.8,5.2
-1.3978e+00,4.6,4.2
-1.3971e+00,4.6,5.2
-1.3963e+00,4.6,4.2
-1.3955e+00,4.6,5.2
-1.3948e+00,4.6,4.2
-1.3940e+00,4.6,5
-1.3932e+00,4.6,4.2
-1.3925e+00,4.4,5
-1.3917e+00,4.6,4.2
-1.3909e+00,4.6,5.2
-1.3902e+00,4.6,4.4
-1.3894e+00,4.8,5.2
-1.3886e+00,4.8,4.4
-1.3879e+00,4.8,5.4
-1.3871e+00,5,4.6
-1.3863e+00,5,5.4
-1.3856e+00,5,4.6
-1.3848e+00,5,5.4
-1.3840e+00,5,4.6
-1.3833e+00,5,5.4
-1.3825e+00,4.8,4.4
-1.3817e+00,5,5.4
-1.3810e+00,4.8,4.4
-1.3802e+00,5,5.4
-1.3794e+00,4.6,4.4
-1.3786e+00,4.8,5.2
-1.3779e+00,4.8,4.4
-1.3771e+00,4.8,5.2
-1.3763e+00,5,4.4
-1.3756e+00,4.6,5.2
