Model,DPO2024B
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.01,,,
Sample Interval,1.92012e-05,,,
Filter Frequency,2e+08,,,
Record Length,5208,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,10,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,10,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-4.430e-02,2.64,2.8,4.8,5.6
-4.428e-02,2.64,2.56,5.2,4.4
-4.426e-02,2.64,2.8,5.2,6
-4.424e-02,2.72,2.56,5.6,4.8
-4.422e-02,2.64,2.8,5.6,6.4
-4.420e-02,2.72,2.56,5.6,5.2
-4.418e-02,2.64,2.72,6,6.8
-4.416e-02,2.64,2.56,6.4,5.6
-4.414e-02,2.64,2.72,6.4,6.8
-4.412e-02,2.64,2.56,6.8,6
-4.411e-02,2.64,2.8,6.8,7.2
-4.409e-02,2.64,2.56,6.8,6.4
-4.407e-02,2.64,2.72,7.2,8
-4.405e-02,2.64,2.56,7.6,6.8
-4.403e-02,2.64,2.72,7.6,8.4
-4.401e-02,2.64,2.56,8.4,7.6
-4.399e-02,2.64,2.72,8.4,8.8
-4.397e-02,2.64,2.56,8.4,8
-4.395e-02,2.64,2.8,8.8,9.6
-4.393e-02,2.56,2.56,9.2,8.4
-4.391e-02,2.64,2.72,9.6,10.4
-4.389e-02,2.64,2.56,10,9.2
-4.387e-02,2.64,2.72,10.4,10.8
-4.386e-02,2.64,2.56,10.4,10
-4.384e-02,2.64,2.72,10.4,10.8
-4.382e-02,2.64,2.48,10.4,10
-4.380e-02,2.56,2.72,10.8,11.2
-4.378e-02,2.64,2.48,10.8,10
-4.376e-02,2.56,2.64,10.4,10.8
-4.374e-02,2.56,2.48,10.4,10
-4.372e-02,2.56,2.64,10.4,10.8
-4.370e-02,2.56,2.48,10.4,10
-4.368e-02,2.56,2.64,10.4,11.2
-4.366e-02,2.56,2.4,10.4,10
-4.364e-02,2.48,2.64,10.8,10.8
-4.363e-02,2.56,2.4,10.4,9.6
-4.361e-02,2.56,2.56,10.4,10.8
-4.359e-02,2.48,2.4,10.4,9.6
-4.357e-02,2.56,2.56,10.4,10.8
-4.355e-02,2.48,2.4,10.4,9.6
-4.353e-02,2.48,2.64,10.4,10.8
-4.351e-02,2.48,2.4,10.4,9.6
-4.349e-02,2.48,2.56,10.4,10.8
-4.347e-02,2.48,2.4,10.4,10
-4.345e-02,2.48,2.56,10.4,10.8
-4.343e-02,2.4,2.4,10.4,10
-4.341e-02,2.48,2.56,10.4,10.8
-4.339e-02,2.48,2.32,10.8,10
-4.338e-02,2.48,2.56,10.4,11.2
-4.336e-02,2.4,2.32,10.4,10
-4.334e-02,2.4,2.48,10.8,10.8
-4.332e-02,2.4,2.32,10.4,10
-4.330e-02,2.4,2.48,10.4,10.8
-4.328e-02,2.4,2.32,10.4,10
-4.326e-02,2.32,2.48,10.4,10.8
-4.324e-02,2.32,2.32,10.8,10
-4.322e-02,2.32,2.48,10.4,10.8
-4.320e-02,2.32,2.24,10.4,10
-4.318e-02,2.32,2.4,10.8,11.2
-4.316e-02,2.32,2.24,10.4,10
-4.315e-02,2.32,2.4,10.4,10.8
-4.313e-02,2.32,2.24,10.4,9.6
-4.311e-02,2.32,2.4,10.8,10.8
-4.309e-02,2.32,2.24,10.4,10
-4.307e-02,2.32,2.4,10.4,10.8
-4.305e-02,2.32,2.24,10.8,10
-4.303e-02,2.32,2.4,10.4,10.8
-4.301e-02,2.24,2.16,10.4,10
-4.299e-02,2.32,2.4,10.4,10.8
-4.297e-02,2.24,2.16,10.4,10
-4.295e-02,2.24,2.32,10.4,10.8
-4.293e-02,2.24,2.16,10.4,10
-4.291e-02,2.24,2.32,10.4,10.8
-4.290e-02,2.16,2.16,10.4,10
-4.288e-02,2.24,2.32,10.8,10.8
-4.286e-02,2.24,2.16,10.4,10
-4.284e-02,2.24,2.32,10.4,10.8
-4.282e-02,2.16,2.08,10.4,10
-4.280e-02,2.16,2.32,10.4,10.8
-4.278e-02,2.16,2.08,10.4,10
-4.276e-02,2.16,2.32,10.4,10.8
-4.274e-02,2.16,2.08,10.4,10
-4.272e-02,2.16,2.32,10.4,11.2
-4.270e-02,2.16,2.08,10.4,10
-4.268e-02,2.16,2.24,10.4,10.8
-4.267e-02,2.08,2.08,10.4,10
-4.265e-02,2.16,2.32,10.4,10.8
-4.263e-02,2.08,2,10.4,10
-4.261e-02,2.16,2.24,10.4,10.8
-4.259e-02,2.16,2,10.4,10
-4.257e-02,2.08,2.16,10.4,10.8
-4.255e-02,2.08,2,10.4,10
-4.253e-02,2.08,2.16,10.4,10.8
-4.251e-02,2.08,2,10.8,10
-4.249e-02,2.08,2.16,10.4,10.8
-4.247e-02,2.08,2,10.8,10
-4.245e-02,2.08,2.16,10.4,10.8
-4.243e-02,2.08,2,10.4,10
-4.242e-02,2.08,2.16,10.4,10.8
-4.240e-02,2.08,2,10.4,10
-4.238e-02,2.08,2.16,10.4,11.2
-4.236e-02,2.08,1.92,10.8,10
-4.234e-02,2.08,2.16,10.4,10.8
-4.232e-02,2,1.92,10.4,10
-4.230e-02,2,2.16,10.4,10.8
-4.228e-02,2,1.92,10.4,10
-4.226e-02,2,2.08,10.8,10.8
-4.224e-02,2,1.92,10.8,10
-4.222e-02,1.92,2.08,10.4,10.8
-4.220e-02,1.92,1.84,10.4,10
-4.219e-02,1.92,2.08,10.4,10.8
-4.217e-02,1.92,1.84,10.8,10
-4.215e-02,1.92,2,10.8,10.8
-4.213e-02,1.84,1.84,10.4,10
-4.211e-02,1.84,2,10.4,10.8
-4.209e-02,1.92,1.76,10.4,10
-4.207e-02,1.84,1.92,10.8,11.2
-4.205e-02,1.92,1.76,10.8,9.6
-4.203e-02,1.84,1.92,10.8,10.8
-4.201e-02,1.92,1.76,10.8,10
-4.199e-02,1.92,1.92,10.8,10.8
-4.197e-02,1.84,1.76,10.4,10
-4.195e-02,1.84,1.92,10.8,10.8
-4.194e-02,1.84,1.76,10.4,10
-4.192e-02,1.84,2,10.4,10.8
-4.190e-02,1.84,1.76,10.4,10
-4.188e-02,1.84,1.92,10.4,10.8
-4.186e-02,1.84,1.76,10.4,10
-4.184e-02,1.84,1.92,10.4,10.8
-4.182e-02,1.84,1.76,10.4,10
-4.180e-02,1.84,1.92,10.8,10.8
-4.178e-02,1.76,1.68,10.4,10
-4.176e-02,1.84,1.84,10.4,10.8
-4.174e-02,1.76,1.68,10.4,10
-4.172e-02,1.76,1.84,10.4,10.8
-4.171e-02,1.76,1.68,10.8,10
-4.169e-02,1.76,1.84,10.4,10.8
-4.167e-02,1.76,1.68,10.4,10
-4.165e-02,1.76,1.84,10.4,10.8
-4.163e-02,1.76,1.68,10.4,10
-4.161e-02,1.76,1.84,10.8,10.8
-4.159e-02,1.76,1.68,10.4,10
-4.157e-02,1.76,1.76,10.8,11.2
-4.155e-02,1.76,1.6,10.4,10
-4.153e-02,1.76,1.76,10.4,10.8
-4.151e-02,1.76,1.6,10.8,10
-4.149e-02,1.68,1.76,10.4,10.8
-4.147e-02,1.68,1.6,10.4,10
-4.146e-02,1.68,1.76,10.4,10.8
-4.144e-02,1.6,1.6,10.4,10
-4.142e-02,1.68,1.76,10.4,10.8
-4.140e-02,1.6,1.52,10.4,9.6
-4.138e-02,1.68,1.76,10.4,10.8
-4.136e-02,1.68,1.52,10.4,10
-4.134e-02,1.76,1.84,10.8,10.8
-4.132e-02,1.76,1.44,10.4,10
-4.130e-02,1.76,1.84,10.4,10.8
-4.128e-02,1.52,1.52,10.4,10
-4.126e-02,1.68,1.76,10.4,10.8
-4.124e-02,1.6,1.52,10.4,10
-4.123e-02,1.6,1.68,10.4,10.8
-4.121e-02,1.6,1.52,10.4,10
-4.119e-02,1.6,1.68,10.4,10.8
-4.117e-02,1.6,1.52,10.4,10
-4.115e-02,1.6,1.68,10.8,10.8
-4.113e-02,1.6,1.52,10.8,10
-4.111e-02,1.6,1.68,10.4,11.2
-4.109e-02,1.6,1.44,10.8,10
-4.107e-02,1.6,1.68,10.4,10.8
-4.105e-02,1.52,1.44,10.4,10
-4.103e-02,1.52,1.6,10.4,10.8
-4.101e-02,1.52,1.44,10.8,10
-4.099e-02,1.52,1.6,10.4,10.8
-4.098e-02,1.52,1.44,10.4,10
-4.096e-02,1.52,1.6,10.4,10.8
-4.094e-02,1.52,1.36,10.4,10
-4.092e-02,1.44,1.6,10.8,10.8
-4.090e-02,1.52,1.36,10.4,10
-4.088e-02,1.44,1.6,10.4,10.8
-4.086e-02,1.52,1.36,10.8,10
-4.084e-02,1.44,1.52,10.8,10.8
-4.082e-02,1.44,1.36,10.4,10
-4.080e-02,1.52,1.52,10.4,10.8
-4.078e-02,1.44,1.36,10.4,10
-4.076e-02,1.44,1.52,10.4,10.8
-4.075e-02,1.44,1.36,10.4,9.6
-4.073e-02,1.36,1.52,10.4,10.8
-4.071e-02,1.44,1.28,10.4,10
-4.069e-02,1.36,1.44,10.4,10.8
-4.067e-02,1.36,1.28,10.4,10
-4.065e-02,1.36,1.44,10.4,11.2
-4.063e-02,1.36,1.28,10.4,10
-4.061e-02,1.36,1.44,10.4,10.8
-4.059e-02,1.36,1.2,10.4,10
-4.057e-02,1.36,1.44,10.8,10.8
-4.055e-02,1.28,1.2,10.4,10
-4.053e-02,1.28,1.36,10.4,10.8
-4.051e-02,1.28,1.2,10.4,10
-4.050e-02,1.28,1.36,10.4,10.8
-4.048e-02,1.28,1.2,10.4,10
-4.046e-02,1.28,1.36,10.4,10.8
-4.044e-02,1.28,1.2,10.8,10
-4.042e-02,1.28,1.44,10.8,11.2
-4.040e-02,1.28,1.2,10.4,10
-4.038e-02,1.28,1.36,10.4,10.8
-4.036e-02,1.28,1.12,10.8,10
-4.034e-02,1.2,1.28,10.4,11.2
-4.032e-02,1.2,1.12,10.4,10
-4.030e-02,1.2,1.28,10.8,10.8
-4.028e-02,1.2,1.12,10.4,10
-4.026e-02,1.2,1.28,10.4,10.8
-4.025e-02,1.2,1.12,10.4,10
-4.023e-02,1.2,1.28,10.4,10.8
-4.021e-02,1.2,1.12,10.8,10
-4.019e-02,1.12,1.28,10.8,10.8
-4.017e-02,1.2,1.04,10.4,10
-4.015e-02,1.2,1.28,10.4,10.8
-4.013e-02,1.12,1.04,10.8,10
-4.011e-02,1.12,1.2,10.4,10.8
-4.009e-02,1.12,1.04,10.4,10
-4.007e-02,1.12,1.2,10.4,10.8
-4.005e-02,1.12,1.04,10.8,10
-4.003e-02,1.12,1.2,10.4,10.8
-4.002e-02,1.04,0.96,10.8,10
-4.000e-02,1.04,1.2,10.4,10.8
-3.998e-02,1.04,0.96,10.8,10
-3.996e-02,1.12,1.2,10.4,10.8
-3.994e-02,1.04,0.96,10.8,10
-3.992e-02,1.04,1.12,10.8,10.8
-3.990e-02,1.04,0.96,10.4,10
-3.988e-02,1.04,1.12,10.4,10.8
-3.986e-02,1.04,0.96,10.4,10
-3.984e-02,1.04,1.12,10.8,10.8
-3.982e-02,1.04,0.88,10.8,10
-3.980e-02,0.96,1.12,10.4,10.8
-3.978e-02,1.04,0.88,10.8,10
-3.977e-02,0.96,1.12,10.4,10.8
-3.975e-02,0.96,0.88,10.8,10
-3.973e-02,0.96,1.04,10.4,10.8
-3.971e-02,0.96,0.88,10.4,9.6
-3.969e-02,0.88,1.04,10.4,10.8
-3.967e-02,0.96,0.88,10.8,10
-3.965e-02,0.96,1.04,10.4,10.8
-3.963e-02,0.88,0.88,10.8,9.6
-3.961e-02,0.96,1.04,10.4,10.8
